"MARKET DRAYTON MARLEY MOUNT",,,,,,,,,,,,
Grid ref,SJ669344,Long,-2.493582,Lat,52.906006,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.84,4.12,,,,,
February,,,,,,0.66,2.11,,,,,
March,,,,,,3.67,1.83,,,,,
April,,,,,,1.43,1.27,,,,,
May,,,,,,0.71,1.86,,,,,
June,,,,,,2.27,1.90,,,,,
July,,,,,,1.41,0.71,,,,,
August,,,,,,5.19,2.24,,,,,
September,,,,,,1.38,1.58,,,,,
October,,,,,,1.50,5.72,,,,,
November,,,,,,2.88,2.89,,,,,
December,,,,,,0.43,2.91,,,,,
Total,,,,,,22.37,29.14,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,22.37,29.14,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,,
