"HERTFORD, HAILEYBURY COLLEGE",,,,,,,,,,,,
Grid ref,TL3589310711,Long,-0.031585,Lat,51.778574,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.36,3.69,1.03,1.14,0.66,,
February,,,,,-999.00,1.04,1.93,1.36,1.30,0.49,,
March,,,,,1.38,2.97,1.30,0.97,2.84,3.15,,
April,,,,,0.83,1.74,0.40,2.92,2.88,1.76,,
May,,,,,1.74,1.30,1.06,1.83,1.65,1.01,,
June,,,,,1.06,3.41,3.15,1.80,0.88,4.61,,
July,,,,,3.16,1.97,0.90,1.55,2.71,3.05,,
August,,,,,2.62,3.25,0.47,1.78,3.39,1.94,,
September,,,,,1.44,1.95,1.37,0.66,1.53,1.92,,
October,,,,,1.31,1.49,4.28,3.00,1.27,3.82,,
November,,,,,1.60,2.72,3.77,2.27,0.68,0.68,,
December,,,,,1.70,0.86,2.56,3.12,2.04,2.92,,
Total,,,,,22.08,24.06,24.88,22.29,22.31,26.01,,
Calc annual,0.00,0.00,0.00,0.00,16.84,24.06,24.88,22.29,22.31,26.01,,
Difference,NaN,NaN,NaN,NaN,5.24,0.00,-0.00,0.00,-0.00,-0.00,,
