"LINDFIELD MASSETTS PLACE",,,,,,,,,,,,
Grid ref,TQ3876023590,Long,-0.024069,Lat,50.994985,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.24,5.14,1.34,,,,
February,,,,,,0.66,3.02,1.52,,,,
March,,,,,,4.13,1.63,1.17,,,,
April,,,,,,2.53,1.01,3.29,,,,
May,,,,,,0.62,2.22,2.20,,,,
June,,,,,,2.74,1.97,2.07,,,,
July,,,,,,0.51,0.95,1.29,,,,
August,,,,,,2.72,1.23,1.81,,,,
September,,,,,,2.68,1.07,0.75,,,,
October,,,,,,1.97,5.52,5.00,,,,
November,,,,,,5.12,6.50,1.73,,,,
December,,,,,,0.68,2.53,3.53,,,,
Total,,,,,,25.60,32.79,25.70,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,25.60,32.79,25.70,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,,
