"TAUNTON STAPLEGROVE",,,,,,,,,,,,
Grid ref,ST212263,Long,-3.125091,Lat,51.030641,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.25,3.97,3.71,0.88,,,,,,
February,,,1.35,1.75,4.99,0.99,,,,,,
March,,,2.11,4.07,2.41,4.37,,,,,,
April,,,1.18,2.35,0.67,2.68,,,,,,
May,,,2.35,2.40,2.03,0.23,,,,,,
June,,,2.65,3.27,0.84,3.80,,,,,,
July,,,2.17,2.29,3.81,0.47,,,,,,
August,,,3.25,3.44,2.61,4.33,,,,,,
September,,,3.04,4.68,2.00,1.45,,,,,,
October,,,2.60,7.10,1.23,1.69,,,,,,
November,,,3.84,1.89,2.05,2.90,,,,,,
December,,,2.43,3.65,2.60,0.53,,,,,,
Total,,,28.22,40.86,28.95,24.32,,,,,,
Calc annual,0.00,0.00,28.22,40.86,28.95,24.32,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
