"DARTMOOR LEATHER TOR FARM",,,,,,,,,,,,
Grid ref,SX566698,Long,-4.023788,Lat,50.510383,,,,,,,
Station no,1649,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.81,4.89,3.58,6.29,9.36,3.08,10.45,3.14,3.30,3.14,,
February,8.52,1.84,3.22,3.68,9.13,2.49,6.08,3.74,4.11,0.92,,
March,3.22,3.93,4.64,7.80,3.65,7.92,2.74,2.39,5.67,8.37,,
April,3.02,4.83,2.93,2.70,3.11,4.33,1.87,9.41,3.63,4.65,,
May,2.83,2.18,2.36,3.55,5.27,1.06,5.25,5.15,3.30,2.23,,
June,6.08,2.57,4.07,1.70,1.65,3.04,1.90,5.41,1.07,3.11,,
July,3.30,1.63,3.26,4.75,6.82,1.22,2.34,2.97,4.61,6.41,,
August,3.84,4.76,4.78,5.39,4.01,6.24,4.48,3.99,5.82,3.35,,
September,3.36,4.87,2.12,5.89,3.93,2.49,1.66,1.98,3.13,2.13,,
October,4.02,3.79,4.47,12.50,3.43,3.18,8.49,9.86,2.51,13.92,,
November,6.12,1.04,6.61,4.12,3.35,7.84,4.58,5.07,3.35,2.31,,
December,10.20,10.53,5.84,9.01,5.77,2.78,5.21,8.18,6.90,10.42,,
Total,63.32,46.86,47.88,67.38,59.48,45.67,55.05,61.29,47.40,60.96,,
Calc annual,63.32,46.86,47.88,67.38,59.48,45.67,55.05,61.29,47.40,60.96,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
