"KELSO BROOMLANDS",,,,,,,,,,,,
Grid ref,NT707345,Long,-2.466589,Lat,55.603225,,,,,,,
Station no,5058,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.40,1.89,1.34,3.28,1.85,0.69,1.76,1.11,1.65,1.51,,
February,4.33,2.15,1.15,2.77,2.14,0.88,1.03,0.85,1.82,1.61,,
March,1.63,1.69,0.83,1.81,2.04,2.24,1.75,1.47,3.04,4.53,,
April,1.82,1.49,1.46,0.99,0.96,4.48,1.05,1.96,1.16,2.77,,
May,1.26,2.18,2.66,1.05,2.65,0.70,5.73,3.53,2.08,1.29,,
June,3.46,1.34,1.90,1.47,2.14,0.55,2.06,4.04,1.33,1.67,,
July,2.72,2.93,1.37,4.17,1.99,1.75,2.43,2.09,2.30,1.71,,
August,5.24,3.13,2.18,3.38,2.90,3.63,4.75,2.82,1.78,1.35,,
September,1.15,0.92,1.13,2.35,0.65,2.01,0.48,0.94,1.86,1.74,,
October,4.08,1.45,1.66,6.20,0.97,2.78,6.66,6.26,1.73,2.95,,
November,4.45,3.44,0.32,1.41,1.61,3.65,2.68,1.87,1.16,0.50,,
December,2.70,4.37,2.36,0.93,1.98,0.68,3.02,2.41,0.42,2.98,,
Total,36.24,26.98,18.36,29.81,21.88,24.04,33.40,29.35,20.33,24.61,,
Calc annual,36.24,26.98,18.36,29.81,21.88,24.04,33.40,29.35,20.33,24.61,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
