"ISLAY, TIGHCARGAMAN PORT ELLEN",,,,,,,,,,,,
Grid ref,NR362458,Long,-6.193024,Lat,55.633966,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.82,3.02,5.24,,
February,,,,,,,,3.37,4.10,2.73,,
March,,,,,,,,4.97,4.78,2.04,,
April,,,,,,,,2.99,2.26,3.19,,
May,,,,,,,,5.02,2.70,2.60,,
June,,,,,,,,5.97,3.29,2.87,,
July,,,,,,,,4.01,4.27,6.67,,
August,,,,,,,,6.16,5.18,4.01,,
September,,,,,,,,2.35,5.28,2.78,,
October,,,,,,,,4.73,1.65,5.95,,
November,,,,,,,,3.86,3.68,2.94,,
December,,,,,,,,6.38,5.11,3.46,,
Total,,,,,,,,52.63,45.32,44.48,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.63,45.32,44.48,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
