"CROWBOROUGH UCKFIELD LODGE",,,,,,,,,,,,
Grid ref,TQ513305,Long,0.157375,Lat,51.053920,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.67,1.16,1.58,3.50,5.96,1.68,6.74,1.58,2.50,1.40,,
February,6.73,2.25,1.92,2.02,3.96,1.18,3.26,2.23,1.84,0.79,,
March,1.07,2.19,1.96,3.66,1.36,5.09,2.41,1.37,3.41,5.50,,
April,1.55,3.27,1.28,2.81,1.43,2.87,1.19,3.99,2.83,1.99,,
May,0.99,1.12,3.09,2.40,3.45,1.23,2.72,2.89,1.95,1.84,,
June,3.39,1.19,4.13,4.17,1.27,4.39,2.73,3.04,1.76,3.27,,
July,0.96,2.28,1.68,5.06,1.09,0.50,0.90,2.24,4.55,3.98,,
August,2.57,1.78,5.38,4.76,1.69,3.30,1.71,2.75,5.49,3.36,,
September,1.67,1.80,0.49,2.62,2.30,2.67,1.90,0.95,1.93,3.77,,
October,2.85,3.07,3.12,9.28,2.80,2.28,5.86,6.36,2.17,8.97,,
November,5.03,0.88,3.18,2.56,1.89,6.10,8.92,2.98,1.66,1.95,,
December,5.16,6.21,2.84,2.84,4.43,1.28,2.57,4.42,4.62,5.96,,
Total,36.64,27.20,30.65,45.68,31.63,32.57,40.91,34.80,34.71,42.78,,
Calc annual,36.64,27.20,30.65,45.68,31.63,32.57,40.91,34.80,34.71,42.78,,
Difference,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,,
