"BURNHAM, BEDFORD VILLA",,,,,,,,,,,,
Grid ref,SU926827,Long,-0.666315,Lat,51.535620,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.68,,
February,,,,,,,,,,0.33,,
March,,,,,,,,,,2.73,,
April,,,,,,,,,,2.30,,
May,,,,,,,,,,1.17,,
June,,,,,,,,,,4.07,,
July,,,,,,,,,,3.14,,
August,,,,,,,,,,1.95,,
September,,,,,,,,,,2.55,,
October,,,,,,,,,,4.64,,
November,,,,,,,,,,0.60,,
December,,,,,,,,,,2.26,,
Total,,,,,,,,,,26.42,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.42,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
