"ABERDEEN WW SCHEME 1908 DUKES CHAIR NO 3",,,,,,,,,,,,
Grid ref,NN972884,Long,-3.692798,Lat,56.975335,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.70,,,,,,,,,
February,,,1.20,,,,,,,,,
March,,,1.90,,,,,,,,,
April,,,3.40,,,,,,,,,
May,,,3.50,,,,,,,,,
June,,,1.80,,,,,,,,,
July,,,2.70,,,,,,,,,
August,,,3.80,,,,,,,,,
September,,,2.20,,,,,,,,,
October,,,4.80,,,,,,,,,
November,,,4.30,,,,,,,,,
December,,,6.60,,,,,,,,,
Total,,,38.90,,,,,,,,,
Calc annual,0.00,0.00,38.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
