"MAIDENHEAD COOKHAM VIC",,,,,,,,,,,,
Grid ref,SU896854,Long,-0.708870,Lat,51.560374,,,,,,,
Station no,RR172,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.13,0.76,0.72,2.39,2.44,0.89,3.73,0.63,1.83,0.64,,
February,4.65,1.22,1.10,0.72,2.42,0.51,1.80,1.53,1.41,0.34,,
March,0.78,1.33,1.56,2.70,1.25,3.14,1.38,1.11,3.10,2.65,,
April,0.89,2.01,0.70,2.23,1.29,1.63,0.49,2.85,3.87,2.52,,
May,1.04,0.56,2.29,3.17,2.71,0.69,2.44,1.76,1.70,1.41,,
June,2.04,1.18,3.46,6.69,0.71,3.49,3.08,2.34,1.06,3.92,,
July,0.59,4.48,1.00,3.67,3.69,0.51,0.12,2.65,3.55,3.20,,
August,3.33,2.22,4.00,2.84,2.26,2.16,0.87,1.94,3.47,4.41,,
September,0.81,1.21,0.66,2.12,1.62,1.50,1.05,0.69,2.19,2.63,,
October,3.03,2.07,1.40,7.55,1.83,1.11,5.20,4.43,2.24,4.67,,
November,1.87,0.46,1.92,1.72,2.09,2.25,3.41,2.17,0.81,0.59,,
December,2.99,3.36,1.21,1.95,2.37,0.96,2.95,3.55,2.30,2.11,,
Total,25.15,20.86,20.02,37.75,24.68,18.84,26.52,25.65,27.53,29.09,,
Calc annual,25.15,20.86,20.02,37.75,24.68,18.84,26.52,25.65,27.53,29.09,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
