"DERBY DUFFIELD ROAD",,,,,,,,,,,,
Grid ref,SK349368,Long,-1.482290,Lat,52.927480,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.46,1.79,1.53,1.94,1.32,1.08,3.48,1.19,0.60,1.13,,
February,4.16,1.05,1.50,1.01,3.60,0.54,3.02,1.90,1.44,0.70,,
March,0.53,1.92,1.39,3.29,1.49,2.67,1.84,1.29,2.08,2.76,,
April,1.01,1.58,2.11,1.12,1.77,1.34,0.57,1.76,1.75,2.08,,
May,1.70,0.97,2.48,3.73,1.36,0.63,1.61,3.40,3.03,1.84,,
June,3.16,0.91,2.30,1.27,0.86,1.86,1.57,3.50,1.79,2.09,,
July,3.64,4.07,1.28,2.22,2.20,1.03,0.56,2.80,2.52,3.28,,
August,4.96,1.82,2.86,4.97,2.79,2.85,1.36,3.41,3.34,2.28,,
September,0.53,0.87,1.41,2.62,1.38,1.55,1.12,0.73,2.98,2.17,,
October,2.73,1.75,2.50,5.25,0.98,1.14,5.46,3.53,1.04,3.14,,
November,2.36,1.75,1.57,2.09,1.26,2.45,2.84,2.11,1.29,,,
December,4.24,5.43,1.64,1.52,1.20,0.72,2.25,2.94,1.48,,,
Total,32.48,23.91,22.57,31.03,20.21,17.86,25.68,28.56,23.34,,,
Calc annual,32.48,23.91,22.57,31.03,20.21,17.86,25.68,28.56,23.34,21.47,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,,
