"BIGGLESWADE WATERWORKS",,,,,,,,,,,,
Grid ref,TL210415,Long,-0.236539,Lat,52.058677,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.67,1.06,0.76,,
February,,,,,,,,0.75,1.04,0.25,,
March,,,,,,,,0.41,2.42,2.47,,
April,,,,,,,,1.99,2.57,1.30,,
May,,,,,,,,3.58,1.59,1.23,,
June,,,,,,,,1.41,1.11,4.59,,
July,,,,,,,,1.99,2.72,3.09,,
August,,,,,,,,2.31,2.05,3.69,,
September,,,,,,,,0.59,1.17,1.77,,
October,,,,,,,,3.13,1.49,3.48,,
November,,,,,,,,1.78,0.78,0.54,,
December,,,,,,,,2.56,1.31,2.78,,
Total,,,,,,,,21.17,19.31,25.95,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.17,19.31,25.95,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
