"BRIDGWATER BLAKE GARDENS",,,,,,,,,,,,
Grid ref,ST300368,Long,-3.001659,Lat,51.126185,,,,,,,
Station no,2081,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.34,,
February,,,,,,,,,,0.45,,
March,,,,,,,,,,2.85,,
April,,,,,,,,,,1.81,,
May,,,,,,,,,,0.88,,
June,,,,,,,,,,2.41,,
July,,,,,,,,,,1.48,,
August,,,,,,,,,,2.03,,
September,,,,,,,,,,2.26,,
October,,,,,,,,,,3.50,,
November,,,,,,,,,,0.94,,
December,,,,,,,,,,4.30,,
Total,,,,,,,,,,24.25,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.25,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
