"LAMINGTON",,,,,,,,,,,,
Grid ref,NS980310,Long,-3.618803,Lat,55.561972,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.15,1.27,,,1.84,2.05,4.47,2.40,4.53,4.76,,
February,3.43,1.01,,,2.57,2.74,2.30,2.55,3.23,2.17,,
March,0.52,1.05,,,2.32,5.37,2.20,3.77,5.73,3.74,,
April,3.48,2.40,,,3.72,3.11,2.05,2.42,1.30,2.75,,
May,0.65,1.47,,,2.43,1.23,4.95,3.36,2.92,2.15,,
June,2.73,3.18,,,2.35,1.47,1.58,3.62,1.99,2.51,,
July,2.10,1.75,,,1.95,1.99,2.03,3.20,2.09,4.66,,
August,3.85,4.44,,,3.53,3.33,4.43,4.24,2.86,2.16,,
September,1.91,2.71,,,2.07,2.18,0.48,0.85,5.21,2.46,,
October,5.43,4.64,,,0.81,3.20,5.75,9.44,0.60,6.57,,
November,3.86,4.84,,,2.34,2.94,4.73,2.97,3.07,1.77,,
December,7.16,3.30,,,1.87,2.50,2.37,4.29,1.74,5.05,,
Total,40.27,32.06,,,27.80,32.11,37.34,43.11,35.27,40.75,,
Calc annual,40.27,32.06,0.00,0.00,27.80,32.11,37.34,43.11,35.27,40.75,,
Difference,-0.00,0.00,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
