"ROUSDON (LYME REGIS)",,,,,,,,,,,,
Grid ref,SY297905,Long,-2.997007,Lat,50.709866,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.89,3.05,0.93,3.25,4.28,1.12,6.36,1.00,1.00,1.33,,
February,4.62,1.20,1.77,1.46,4.81,0.64,3.69,1.56,2.14,0.30,,
March,1.40,2.56,2.00,3.57,1.91,4.68,1.60,0.68,2.81,5.35,,
April,1.69,3.23,1.78,3.22,1.15,2.50,0.85,4.15,2.80,1.97,,
May,1.79,1.41,1.88,2.41,3.38,0.62,3.20,2.03,1.65,1.22,,
June,3.28,1.99,3.14,1.93,1.00,1.88,1.22,1.93,0.48,4.72,,
July,0.94,2.72,2.15,2.94,5.82,0.49,1.27,1.62,1.44,3.26,,
August,1.87,1.60,3.46,4.20,3.76,2.97,1.00,1.40,4.12,2.78,,
September,0.60,3.56,2.17,4.50,2.26,1.67,1.25,0.86,2.98,2.57,,
October,2.28,2.78,3.42,5.90,2.14,2.53,5.05,7.55,5.20,5.45,,
November,3.37,0.63,4.14,1.49,1.74,5.39,3.13,2.87,1.03,0.86,,
December,5.60,6.35,2.02,3.60,3.35,0.97,2.20,4.75,3.32,5.50,,
Total,32.33,31.08,28.86,38.47,35.60,25.46,30.82,30.40,28.97,35.31,,
Calc annual,32.33,31.08,28.86,38.47,35.60,25.46,30.82,30.40,28.97,35.31,,
Difference,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
