"KINGUSSIE",,,,,,,,,,,,
Grid ref,NH760009,Long,-4.047494,Lat,57.082351,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.97,1.30,2.37,5.99,2.30,2.45,4.23,2.33,2.55,2.49,,
February,1.78,2.86,0.67,5.46,1.95,3.15,2.28,3.42,2.28,1.29,,
March,0.76,2.21,2.24,5.73,1.14,3.60,2.96,2.45,5.06,1.14,,
April,2.53,1.90,1.41,1.41,4.10,1.48,2.11,2.02,1.77,2.45,,
May,1.61,1.02,3.05,1.37,2.09,1.85,3.50,1.99,1.36,2.36,,
June,2.95,3.65,1.41,1.98,1.11,2.13,0.90,2.26,1.76,0.66,,
July,3.22,1.19,1.88,3.65,1.08,1.14,2.40,1.38,2.00,2.94,,
August,3.79,2.05,2.51,3.81,3.70,2.53,4.28,3.23,2.18,2.27,,
September,2.97,1.37,2.13,2.15,1.27,1.71,1.97,1.01,4.50,1.47,,
October,3.74,2.54,2.36,4.34,1.39,2.85,3.79,1.77,0.52,5.12,,
November,2.59,2.09,0.95,3.42,2.19,2.63,4.13,2.56,2.88,1.76,,
December,6.61,1.94,4.25,1.60,3.28,2.00,2.85,2.17,1.79,2.06,,
Total,36.52,24.12,25.23,40.91,25.60,27.52,35.40,26.59,28.65,26.01,,
Calc annual,36.52,24.12,25.23,40.91,25.60,27.52,35.40,26.59,28.65,26.01,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
