"LOCH ARKAIG (ACHNACARRY)",,,,,,,,,,,,
Grid ref,NN176880,Long,-5.000420,Lat,56.947197,,,,,,,
Station no,5723,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,10.47,11.70,,
February,,,,,,,,,7.55,3.22,,
March,,,,,,,,,6.89,0.53,,
April,,,,,,,,,2.29,4.35,,
May,,,,,,,,,5.25,4.85,,
June,,,,,,,,,5.27,0.95,,
July,,,,,,,,,3.98,5.70,,
August,,,,,,,,,6.45,5.04,,
September,,,,,,,,,8.59,3.20,,
October,,,,,,,,,2.33,11.87,,
November,,,,,,,,,6.79,7.40,,
December,,,,,,,,,10.45,7.29,,
Total,,,,,,,,,76.31,66.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.31,66.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
