"EPSOM WATER WORKS",,,,,,,,,,,,
Grid ref,TQ211612,Long,-0.262937,Lat,51.337002,,,,,,,
Station no,135/2,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,0.97,0.67,2.21,3.59,1.28,4.33,0.93,1.52,0.97,,
February,,0.87,1.15,1.31,3.07,0.69,1.73,1.35,0.90,0.67,,
March,,2.20,1.75,2.31,1.42,3.37,1.22,0.23,2.93,3.45,,
April,,1.83,0.65,1.82,1.30,1.53,0.46,3.49,2.34,1.84,,
May,,0.43,1.96,2.69,2.25,0.98,1.20,1.70,1.84,1.42,,
June,,1.52,3.47,7.03,0.67,4.99,2.80,2.68,2.33,4.09,,
July,,1.81,0.98,4.42,1.26,0.52,0.41,0.93,3.21,3.20,,
August,,1.81,3.58,4.58,1.63,2.34,0.51,2.42,3.32,2.17,,
September,,1.45,0.93,3.16,1.28,1.93,1.36,0.51,1.21,2.74,,
October,,2.38,1.53,5.75,2.13,1.15,3.38,4.10,2.10,4.42,,
November,,0.59,2.02,2.16,1.56,4.10,4.28,1.98,0.60,0.85,,
December,,4.43,1.26,2.16,2.50,0.42,1.83,2.99,2.18,2.98,,
Total,,20.29,19.95,39.60,22.66,23.30,23.51,23.31,24.48,28.80,,
Calc annual,0.00,20.29,19.95,39.60,22.66,23.30,23.51,23.31,24.48,28.80,,
Difference,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
