"GORDON CASTLE",,,,,,,,,,,,
Grid ref,NJ350595,Long,-3.089835,Lat,57.620766,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.30,2.10,1.27,3.52,0.77,1.47,0.70,1.31,1.76,2.01,,
February,4.57,3.15,1.19,2.76,2.83,1.96,2.59,1.42,1.81,1.34,,
March,3.00,2.10,2.28,1.10,0.77,3.66,2.61,1.21,3.35,4.40,,
April,2.06,1.59,0.96,2.23,1.79,2.36,1.97,1.47,2.63,2.85,,
May,1.04,1.06,2.69,1.94,1.90,2.16,3.98,2.24,1.17,2.92,,
June,2.15,3.67,3.62,1.64,1.24,0.53,1.81,5.18,1.23,1.61,,
July,5.26,4.59,4.41,5.84,1.00,1.96,1.71,2.74,2.98,2.21,,
August,4.56,2.75,2.33,5.12,3.67,3.09,3.31,3.15,2.32,2.80,,
September,2.09,1.15,1.55,1.96,2.53,2.26,1.38,0.59,4.35,2.56,,
October,3.10,2.76,2.28,4.31,1.58,5.80,4.60,5.06,0.65,4.14,,
November,2.98,4.18,0.84,3.64,1.93,5.61,5.80,1.65,1.86,3.39,,
December,3.21,4.35,3.70,1.02,3.08,0.61,2.63,1.70,1.27,2.40,,
Total,37.32,33.45,27.12,35.08,23.09,31.47,33.09,27.72,25.38,32.63,,
Calc annual,37.32,33.45,27.12,35.08,23.09,31.47,33.09,27.72,25.38,32.63,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
