"SHOREHAM (HIGHFIELD)",,,,,,,,,,,,
Grid ref,TQ540606,Long,0.208763,Lat,51.323660,,,,,,,
Station no,390/3,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.97,2.53,4.71,1.29,5.53,2.35,1.87,1.09,,
February,,,1.44,1.74,3.92,1.17,2.37,1.67,1.54,0.80,,
March,,,1.79,2.87,1.85,4.00,1.63,1.11,3.27,4.87,,
April,,,0.54,1.63,1.20,2.06,0.92,2.70,2.77,2.05,,
May,,,2.82,2.65,1.45,1.19,1.39,2.21,2.31,1.70,,
June,,,2.71,6.00,1.93,5.50,2.97,2.68,2.72,3.63,,
July,,,2.16,5.47,1.99,1.47,0.90,1.21,4.03,3.71,,
August,,,2.16,3.50,1.15,2.69,1.02,2.22,3.56,2.28,,
September,,,0.85,2.94,2.09,2.30,2.46,0.64,2.14,3.82,,
October,,,2.52,6.88,2.43,1.64,5.76,4.41,1.92,6.33,,
November,,,1.90,3.40,1.70,4.36,6.18,2.41,1.15,1.56,,
December,,,2.08,2.34,3.21,1.14,1.12,3.63,2.71,3.41,,
Total,,,21.94,41.95,27.63,28.81,32.25,27.24,29.99,35.25,,
Calc annual,0.00,0.00,21.94,41.95,27.63,28.81,32.25,27.24,29.99,35.25,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
