"NOTTINGHAM BASFORD HALL",,,,,,,,,,,,
Grid ref,SK538434,Long,-1.200074,Lat,52.985247,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.04,1.13,3.39,,,,,
February,,,,,3.50,0.62,1.76,,,,,
March,,,,,1.31,2.32,2.32,,,,,
April,,,,,1.58,1.77,0.52,,,,,
May,,,,,0.95,0.44,1.78,,,,,
June,,,,,0.98,2.38,1.07,,,,,
July,,,,,2.31,2.44,0.98,,,,,
August,,,,,2.78,3.02,1.40,,,,,
September,,,,,1.10,1.39,1.08,,,,,
October,,,,,1.08,1.69,4.65,,,,,
November,,,,,1.32,2.12,2.55,,,,,
December,,,,,1.56,1.60,4.22,,,,,
Total,,,,,21.51,20.92,25.72,,,,,
Calc annual,0.00,0.00,0.00,0.00,21.51,20.92,25.72,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,NaN,NaN,NaN,,
