"CORBRIDGE NEWTON RECTORY",,,,,,,,,,,,
Grid ref,NZ037652,Long,-1.943720,Lat,54.981390,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.65,,,,,,,,,,
February,,1.28,,,,,,,,,,
March,,1.86,,,,,,,,,,
April,,1.17,,,,,,,,,,
May,,2.08,,,,,,,,,,
June,3.80,1.45,,,,,,,,,,
July,1.25,3.36,,,,,,,,,,
August,5.77,2.27,,,,,,,,,,
September,1.05,0.95,,,,,,,,,,
October,5.12,2.67,,,,,,,,,,
November,3.87,5.38,,,,,,,,,,
December,1.92,2.71,,,,,,,,,,
Total,,26.83,,,,,,,,,,
Calc annual,22.78,26.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
