"BRAINTREE BOCKING FENNES",,,,,,,,,,,,
Grid ref,TL762272,Long,0.560519,Lat,51.915451,,,,,,,
Station no,RR105,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.74,0.42,0.50,1.69,1.75,0.98,3.16,1.06,0.78,0.78,,
February,2.41,0.87,0.98,0.42,2.35,0.70,1.92,0.82,1.24,0.76,,
March,0.87,2.25,1.07,1.65,1.79,1.87,1.62,0.66,1.75,2.28,,
April,0.82,1.78,0.72,1.95,0.73,1.60,1.03,2.94,3.05,1.74,,
May,1.05,0.94,2.66,3.32,1.85,1.06,1.33,2.24,1.38,0.95,,
June,2.95,2.28,3.42,4.73,0.98,2.96,2.11,1.95,0.72,3.77,,
July,1.01,1.31,1.22,4.81,2.31,0.77,0.68,1.22,3.09,3.45,,
August,2.90,1.27,3.55,3.45,1.80,1.89,0.86,1.83,2.46,2.93,,
September,0.52,0.93,0.72,2.24,1.14,1.68,1.59,0.53,1.10,1.59,,
October,1.57,2.38,1.37,4.31,0.91,1.00,3.87,2.59,1.41,3.21,,
November,1.76,0.72,1.38,2.05,1.37,2.05,3.70,2.01,1.17,0.74,,
December,2.36,3.08,1.06,1.10,1.56,0.64,2.04,2.59,1.67,3.26,,
Total,20.96,18.23,18.65,31.72,18.54,17.20,23.91,20.44,19.82,25.46,,
Calc annual,20.96,18.23,18.65,31.72,18.54,17.20,23.91,20.44,19.82,25.46,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
