"LOCH FINLAS RES OF AYR CORPN. WW",,,,,,,,,,,,
Grid ref,NX470980,Long,-4.408653,Lat,55.252372,,,,,,,
Station no,5257,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.77,3.82,4.59,7.52,5.95,4.80,7.94,3.23,8.20,7.73,,
February,4.37,2.49,1.30,9.13,5.24,6.32,4.29,4.48,6.09,5.63,,
March,0.37,3.20,4.36,11.24,3.12,7.68,4.37,6.27,6.89,3.43,,
April,2.97,4.12,4.11,2.08,6.07,3.34,2.01,5.47,3.12,3.53,,
May,3.87,2.01,2.77,3.45,2.53,2.64,4.02,5.88,3.68,2.53,,
June,3.61,4.24,1.44,2.69,2.35,2.54,2.20,5.44,3.41,4.14,,
July,1.65,1.85,2.98,4.29,3.06,1.88,4.23,2.56,4.17,8.21,,
August,4.71,6.81,2.79,7.91,7.42,5.26,5.22,6.27,4.95,5.18,,
September,4.47,4.86,4.58,5.22,5.21,3.34,2.27,1.40,8.57,2.29,,
October,7.17,8.25,3.40,11.61,3.34,6.70,8.04,9.78,1.78,13.80,,
November,5.33,7.26,5.26,5.90,4.51,8.08,4.92,5.93,6.43,4.01,,
December,8.76,2.31,6.87,6.83,3.94,7.54,7.23,6.56,5.77,7.79,,
Total,55.05,51.22,44.45,77.87,52.74,60.12,56.74,63.27,63.06,68.27,,
Calc annual,55.05,51.22,44.45,77.87,52.74,60.12,56.74,63.27,63.06,68.27,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
