"BOURNEMOUTH WELLINGTON HOUSE",,,,,,,,,,,,
Grid ref,SZ088912,Long,-1.876705,Lat,50.720361,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.08,1.39,0.95,2.10,4.50,0.95,6.14,0.91,0.86,1.18,,
February,5.52,1.39,1.50,1.51,3.08,0.84,3.00,1.05,1.19,0.50,,
March,1.21,2.31,2.27,2.63,1.47,4.14,1.36,0.50,2.69,3.92,,
April,1.29,2.30,1.37,2.58,1.18,1.69,1.02,3.83,2.70,1.22,,
May,1.58,0.89,2.47,2.32,2.85,0.45,2.80,1.86,1.55,1.97,,
June,1.98,1.32,2.81,2.38,0.94,3.38,1.30,1.59,0.59,3.29,,
July,0.63,1.84,1.62,2.86,2.11,0.36,1.36,0.88,1.39,1.95,,
August,2.10,1.89,4.40,2.67,3.07,2.63,0.56,1.41,2.78,2.76,,
September,0.80,3.02,1.47,1.88,1.85,2.08,0.85,0.61,2.03,3.31,,
October,2.22,2.69,1.89,7.22,2.68,2.27,6.70,9.65,2.02,7.11,,
November,3.24,0.56,2.41,1.57,1.19,3.72,4.35,2.72,1.02,1.31,,
December,4.30,3.42,1.49,1.96,3.79,0.74,2.11,3.35,3.47,3.94,,
Total,28.95,23.02,24.65,31.68,28.71,23.25,31.55,28.36,22.29,32.46,,
Calc annual,28.95,23.02,24.65,31.68,28.71,23.25,31.55,28.36,22.29,32.46,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
