"GLENGARNOCK CHEMICAL WORKS",,,,,,,,,,,,
Grid ref,NS322533,Long,-4.674687,Lat,55.743916,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,5.07,,
February,,,,,,,,,,3.38,,
March,,,,,,,,,,1.56,,
April,,,,,,,,,,5.71,,
May,,,,,,,,,,2.63,,
June,,,,,,,,,,3.16,,
July,,,,,,,,,,4.95,,
August,,,,,,,,,,3.78,,
September,,,,,,,,,,3.70,,
October,,,,,,,,,,7.65,,
November,,,,,,,,,,3.46,,
December,,,,,,,,,,7.83,,
Total,,,,,,,,,,52.88,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.88,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
