"NEWCASTLE WELLBURN JESMOND",,,,,,,,,,,,
Grid ref,NZ260660,Long,-1.595216,Lat,54.987919,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.62,1.55,0.82,2.24,1.80,0.38,2.20,0.29,1.41,0.77,,
February,5.43,1.42,1.23,1.43,2.79,0.76,0.87,1.14,1.79,1.65,,
March,1.76,1.81,0.86,1.24,1.37,1.24,1.13,0.93,3.36,5.22,,
April,1.45,1.14,1.35,1.56,1.62,2.80,1.24,2.41,2.71,2.71,,
May,1.41,2.47,2.63,2.39,2.61,0.47,4.73,4.06,1.91,1.75,,
June,5.03,1.30,2.17,3.09,1.91,1.02,1.73,2.13,0.28,2.04,,
July,1.58,3.63,3.05,4.63,1.42,1.74,1.07,1.43,2.91,2.48,,
August,7.03,2.58,2.53,2.10,2.40,2.32,3.11,2.52,1.62,3.41,,
September,0.87,0.99,0.61,2.81,1.44,2.05,0.47,0.58,1.69,1.62,,
October,7.21,2.33,2.50,8.59,0.67,2.93,4.36,5.23,1.49,2.33,,
November,3.36,5.10,1.21,2.25,2.77,3.96,3.05,1.55,1.26,0.66,,
December,2.02,3.39,2.77,1.92,1.83,0.34,4.88,2.99,0.87,4.30,,
Total,40.77,27.71,21.73,34.25,22.63,20.01,28.84,25.26,21.30,28.94,,
Calc annual,40.77,27.71,21.73,34.25,22.63,20.01,28.84,25.26,21.30,28.94,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
