"MATLOCK DALE TOR HOUSE",,,,,,,,,,,,
Grid ref,SK295592,Long,-1.560575,Lat,53.129153,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.51,,,,,,,,,,,
February,4.89,,,,,,,,,,,
March,1.33,,,,,,,,,,,
April,1.42,,,,,,,,,,,
May,1.57,,,,,,,,,,,
June,3.73,,,,,,,,,,,
July,3.14,,,,,,,,,,,
August,4.98,,,,,,,,,,,
September,1.71,,,,,,,,,,,
October,3.65,,,,,,,,,,,
November,3.25,,,,,,,,,,,
December,5.51,,,,,,,,,,,
Total,40.69,,,,,,,,,,,
Calc annual,40.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
