"BRIXTON KITLEY GARDENS",,,,,,,,,,,,
Grid ref,SX561515,Long,-4.023809,Lat,50.345789,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.15,4.43,,,,,,,,
February,,,2.12,2.86,,,,,,,,
March,,,2.44,5.65,,,,,,,,
April,,,1.84,1.92,,,,,,,,
May,,,1.61,1.92,,,,,,,,
June,,,3.24,0.95,,,,,,,,
July,,,3.00,4.30,,,,,,,,
August,,,2.99,4.48,,,,,,,,
September,,,2.48,4.31,,,,,,,,
October,,,3.31,8.42,,,,,,,,
November,,,5.29,2.88,,,,,,,,
December,,,3.68,6.63,,,,,,,,
Total,,,34.15,48.75,,,,,,,,
Calc annual,0.00,0.00,34.15,48.75,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
