"BARRA BARRAHEAD",,,,,,,,,,,,
Grid ref,NL549802,Long,-7.653442,Lat,56.784950,,,,,,,
Station no,RR85,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.47,2.92,1.60,2.90,2.87,2.72,2.25,2.15,3.00,2.74,,
February,0.65,1.21,1.52,2.91,2.99,3.24,3.28,2.02,2.32,1.40,,
March,0.26,1.12,2.34,2.52,1.08,3.65,1.65,2.45,2.99,1.32,,
April,2.99,1.71,1.91,1.02,3.48,2.46,3.05,1.64,1.15,1.86,,
May,2.33,0.96,1.67,1.30,1.93,1.12,2.88,2.47,1.46,1.94,,
June,1.96,2.34,1.13,1.38,1.92,0.40,1.76,2.08,2.73,0.45,,
July,2.62,0.69,1.55,3.81,0.90,2.35,2.70,1.97,1.51,2.55,,
August,1.94,3.12,2.31,4.12,4.15,3.25,4.21,4.57,1.99,1.98,,
September,2.41,2.49,5.48,1.46,2.59,2.31,1.32,1.01,3.98,1.61,,
October,1.94,3.84,2.21,6.15,2.04,3.96,2.60,2.13,2.43,2.43,,
November,2.62,1.65,3.76,3.47,1.91,3.74,2.94,2.68,2.81,1.54,,
December,4.15,3.04,2.81,2.32,2.73,2.70,3.52,3.29,4.90,2.92,,
Total,27.34,25.09,28.29,33.36,28.59,31.90,32.16,28.46,31.27,22.74,,
Calc annual,27.34,25.09,28.29,33.36,28.59,31.90,32.16,28.46,31.27,22.74,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,,
