"WIMBORNE BROADSTONE CHURCH ROAD",,,,,,,,,,,,
Grid ref,SZ005956,Long,-1.994277,Lat,50.759993,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,4.72,,
July,,,,,,,,,,2.64,,
August,,,,,,,,,,2.92,,
September,,,,,,,,,,4.10,,
October,,,,,,,,,,8.16,,
November,,,,,,,,,,0.71,,
December,,,,,,,,,,4.63,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.88,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
