"GORLESTON SPRINGFIELD ROAD",,,,,,,,,,,,
Grid ref,TG525035,Long,1.724749,Lat,52.570661,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.49,,,,,,,,,,,
February,3.58,,,,,,,,,,,
March,1.03,,,,,,,,,,,
April,0.92,,,,,,,,,,,
May,1.61,,,,,,,,,,,
June,2.57,,,,,,,,,,,
July,2.51,,,,,,,,,,,
August,3.66,,,,,,,,,,,
September,0.97,,,,,,,,,,,
October,1.93,,,,,,,,,,,
November,1.75,,,,,,,,,,,
December,2.50,,,,,,,,,,,
Total,25.52,,,,,,,,,,,
Calc annual,25.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
