"FRENSHAM HALL, HASLEMERE NO 2",,,,,,,,,,,,
Grid ref,SU880333,Long,-0.744795,Lat,51.092270,,,,,,,
Station no,167,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.86,1.43,1.18,2.80,5.56,1.28,6.98,1.05,2.08,1.51,,
February,6.50,2.42,1.94,2.33,4.25,0.77,3.66,1.73,1.35,0.67,,
March,1.10,2.61,2.13,4.16,1.66,4.83,1.93,1.02,3.79,5.17,,
April,1.19,3.04,1.40,2.56,1.70,1.59,0.67,4.89,3.82,1.97,,
May,1.43,0.87,2.46,3.64,3.60,0.62,2.88,2.54,2.70,2.25,,
June,3.46,2.01,3.18,4.86,1.44,7.31,2.08,2.78,1.01,2.99,,
July,1.26,2.60,1.08,3.49,1.29,0.80,0.50,1.46,2.27,3.38,,
August,3.22,1.63,4.13,4.88,2.79,3.39,1.67,2.55,4.89,2.65,,
September,1.09,1.74,1.26,3.84,2.37,2.48,2.06,0.49,2.06,3.20,,
October,2.89,3.50,2.57,8.90,3.15,1.93,5.75,7.63,3.08,8.45,,
November,3.31,0.93,3.69,2.16,1.51,5.44,5.62,2.33,1.52,0.66,,
December,4.93,5.07,1.93,3.42,3.58,0.98,2.47,4.39,3.54,5.10,,
Total,34.24,27.85,26.95,47.04,32.90,31.42,36.27,32.86,32.11,38.00,,
Calc annual,34.24,27.85,26.95,47.04,32.90,31.42,36.27,32.86,32.11,38.00,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
