"GLEN-NA-SMOEL WATER WORKS",,,,,,,,,,,,
Grid ref,IO0940822088,Long,-6.361861,Lat,53.238139,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.37,6.90,3.32,5.63,6.41,3.16,8.17,1.22,5.73,2.64,,
February,7.86,2.59,3.03,5.19,8.83,1.59,4.19,2.19,3.45,1.76,,
March,3.68,3.30,2.93,8.54,4.10,4.44,3.49,3.19,7.03,5.66,,
April,2.19,1.60,2.48,1.59,2.46,4.10,2.90,5.71,4.67,7.44,,
May,2.58,1.38,3.93,3.11,3.46,1.35,3.55,4.63,3.69,1.36,,
June,5.95,2.01,5.44,1.65,1.32,1.15,2.17,5.62,3.39,3.32,,
July,4.41,2.79,4.00,4.83,1.68,1.62,1.51,3.08,5.06,4.58,,
August,11.18,2.94,5.28,3.66,3.55,9.97,3.44,4.91,5.83,1.80,,
September,2.33,3.88,4.98,4.49,3.07,2.23,1.15,0.90,6.87,3.25,,
October,4.41,5.09,4.39,3.85,0.91,1.87,5.47,10.86,1.70,6.04,,
November,10.56,5.75,5.41,3.99,2.16,7.55,3.51,5.22,2.98,2.63,,
December,4.17,4.32,3.28,3.89,2.55,1.80,4.26,6.81,3.68,8.40,,
Total,64.69,42.55,48.47,50.42,40.50,40.83,43.81,54.34,54.08,48.88,,
Calc annual,64.69,42.55,48.47,50.42,40.50,40.83,43.81,54.34,54.08,48.88,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
