"ULLAPOOL INVERPOLLY LODGE",,,,,,,,,,,,
Grid ref,NC069143,Long,-5.276106,Lat,58.075546,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.55,4.32,4.63,5.08,6.83,3.35,5.96,4.71,,
February,,,0.87,6.00,3.25,6.11,6.55,6.72,5.14,2.31,,
March,,,6.39,6.14,1.31,5.10,5.16,4.27,4.30,2.44,,
April,,,1.53,3.96,6.49,3.59,2.98,2.79,2.57,1.61,,
May,,,2.52,1.95,2.54,1.39,3.71,1.94,2.23,1.93,,
June,,,1.59,1.76,3.81,1.22,1.25,5.44,3.49,1.34,,
July,,,3.49,5.13,2.11,2.63,4.72,2.90,1.30,3.74,,
August,,,2.94,7.27,5.38,4.26,4.29,4.83,4.30,3.35,,
September,,,4.22,3.81,3.35,6.25,2.40,1.72,5.75,3.10,,
October,,,3.95,5.66,6.74,5.57,4.06,1.91,2.58,5.58,,
November,,,2.76,4.72,6.13,4.78,5.83,5.20,6.74,7.56,,
December,,,5.57,3.65,5.79,4.93,7.53,4.50,5.10,3.98,,
Total,,,38.38,54.37,51.53,50.91,55.31,45.57,49.46,41.65,,
Calc annual,0.00,0.00,38.38,54.37,51.53,50.91,55.31,45.57,49.46,41.65,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
