"LOCH RYAN LIGHTHOUSE",,,,,,,,,,,,
Grid ref,NX0613068626,Long,-5.030706,Lat,54.974417,,,,,,,
Station no,5002,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.93,2.45,2.55,4.60,4.45,2.30,4.40,2.00,4.05,2.20,,
February,3.57,1.95,1.40,2.80,3.40,3.15,2.15,2.10,3.05,1.75,,
March,0.80,2.55,1.00,3.60,2.95,3.60,2.00,3.40,5.95,3.70,,
April,2.11,2.00,1.25,1.15,2.60,2.05,1.10,2.30,2.00,2.74,,
May,2.64,1.63,2.20,2.15,2.40,1.10,5.00,3.05,1.35,1.10,,
June,1.86,1.90,1.80,2.35,2.70,1.55,1.05,5.05,2.10,2.57,,
July,2.06,0.77,1.95,4.25,3.40,1.00,1.75,1.95,2.60,6.22,,
August,3.66,,2.70,3.05,5.20,4.20,3.15,4.65,2.75,2.05,,
September,2.66,4.30,4.15,3.00,3.85,2.25,1.00,1.70,3.95,2.05,,
October,2.81,5.40,1.40,7.15,2.75,3.60,6.30,5.95,2.00,5.60,,
November,4.42,3.45,4.65,3.50,4.95,5.20,2.55,5.30,3.64,1.50,,
December,3.04,4.15,4.45,3.45,3.85,2.55,4.40,3.70,6.95,5.25,,
Total,33.56,,29.50,41.05,42.50,32.55,34.85,41.15,40.39,36.73,,
Calc annual,33.56,30.55,29.50,41.05,42.50,32.55,34.85,41.15,40.39,36.73,,
Difference,0.00,NaN,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
