"PETERSFIELD WESTON",,,,,,,,,,,,
Grid ref,SU732219,Long,-0.958388,Lat,50.991853,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.80,2.50,1.80,4.49,6.59,1.20,8.93,1.24,2.28,1.08,,
February,6.28,2.71,2.68,2.47,5.17,0.73,4.17,1.99,1.54,0.53,,
March,0.88,3.22,3.58,4.61,1.54,5.41,1.77,1.25,4.01,5.38,,
April,1.44,3.27,1.93,3.20,1.91,1.79,0.76,5.45,2.77,1.68,,
May,1.69,1.09,3.50,3.43,4.25,0.52,2.55,2.52,2.42,2.49,,
June,4.77,3.75,4.32,3.40,1.14,4.30,1.95,3.62,0.90,3.12,,
July,1.31,3.82,1.74,3.65,1.94,0.35,0.45,1.69,3.28,3.70,,
August,3.35,2.23,5.78,6.18,3.13,3.48,0.98,2.03,5.96,2.32,,
September,1.42,3.21,0.80,3.16,2.61,2.38,1.98,0.59,2.37,3.04,,
October,3.23,4.38,3.72,10.61,2.69,2.00,6.31,8.00,3.41,9.16,,
November,4.01,0.92,6.66,2.34,1.44,4.94,5.32,2.96,1.45,0.76,,
December,6.83,7.92,4.11,3.81,3.79,1.00,2.79,4.86,4.64,5.62,,
Total,40.01,39.02,40.63,57.35,36.20,28.10,37.96,36.20,35.03,38.88,,
Calc annual,40.01,39.02,40.62,51.35,36.20,28.10,37.96,36.20,35.03,38.88,,
Difference,0.00,0.00,0.01,6.00,0.00,0.00,0.00,0.00,0.00,0.00,,
