"PENTLAND HILLS SWANSTON",,,,,,,,,,,,
Grid ref,NT239675,Long,-3.218442,Lat,55.894589,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.23,,0.60,3.55,2.30,0.83,4.52,0.94,3.34,3.68,,
February,2.08,1.18,0.75,5.10,2.28,1.75,1.44,1.14,1.14,1.40,,
March,1.23,1.85,0.90,5.25,1.10,4.08,2.40,1.79,3.50,6.30,,
April,1.72,1.45,1.15,1.12,1.30,1.78,1.01,1.08,2.28,2.50,,
May,1.85,2.80,3.05,1.90,3.55,1.20,5.34,2.78,2.35,2.00,,
June,3.85,2.30,2.65,1.55,2.75,0.59,1.83,2.88,1.35,2.10,,
July,3.36,1.40,2.45,3.97,1.95,2.53,1.38,2.75,4.02,3.53,,
August,5.33,4.10,1.40,2.78,5.03,3.10,6.83,3.70,2.15,1.84,,
September,2.56,1.30,1.52,2.05,1.63,1.70,0.70,1.49,2.32,2.83,,
October,4.58,1.55,1.72,6.58,1.19,2.05,6.58,9.60,1.25,5.05,,
November,5.53,3.00,1.08,1.50,1.25,3.83,4.22,1.47,1.45,1.10,,
December,5.03,,1.80,1.63,3.35,1.63,1.12,4.25,0.61,3.36,,
Total,40.35,,19.07,36.98,27.68,25.07,37.37,33.87,25.76,35.69,,
Calc annual,40.35,20.93,19.07,36.98,27.68,25.07,37.37,33.87,25.76,35.69,,
Difference,0.00,NaN,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
