"EDGBASTON, WESTBOURNE",,,,,,,,,,,,
Grid ref,SP049854,Long,-1.929302,Lat,52.466519,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.89,0.28,1.18,,
February,,,,,,,,0.97,1.24,0.60,,
March,,,,,,,,0.40,2.84,2.79,,
April,,,,,,,,1.75,2.23,1.93,,
May,,,,,,,,3.87,2.98,1.38,,
June,,,,,,,,2.81,2.92,3.75,,
July,,,,,,,,2.93,2.15,3.39,,
August,,,,,,,,2.74,,1.92,,
September,,,,,,,,0.37,,3.04,,
October,,,,,,,,5.86,2.14,3.63,,
November,,,,,,,,1.90,2.07,1.04,,
December,,,,,,,,4.00,1.78,4.15,,
Total,,,,,,,,28.49,25.17,28.80,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.49,20.63,28.80,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,4.54,0.00,,
