"DARLINGTON CLEVELAND PARADE",,,,,,,,,,,,
Grid ref,NZ281140,Long,-1.567406,Lat,54.520520,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.06,1.28,0.80,2.36,1.93,0.41,3.13,0.57,0.99,0.82,,
February,5.38,1.29,1.05,1.22,1.98,0.77,1.20,1.30,1.59,1.17,,
March,1.43,2.34,0.77,2.29,2.04,1.58,1.21,0.77,3.67,4.26,,
April,1.36,1.22,1.20,1.83,1.25,2.74,0.85,1.97,2.59,2.06,,
May,1.39,1.23,2.35,3.95,3.35,0.83,3.19,3.80,2.34,1.37,,
June,2.45,1.64,1.82,2.04,2.08,1.30,0.89,3.08,1.10,2.09,,
July,1.39,3.58,2.43,4.25,1.88,0.81,1.85,2.00,2.85,2.44,,
August,5.76,1.20,1.78,1.79,2.67,3.72,2.23,1.69,1.33,4.16,,
September,0.74,1.07,0.73,2.53,1.62,2.40,0.41,0.42,2.03,1.87,,
October,5.06,1.79,3.00,7.50,0.76,1.65,4.06,4.60,1.52,2.10,,
November,2.53,4.99,1.34,1.28,2.07,4.06,2.55,2.45,0.94,0.63,,
December,1.70,3.16,1.72,1.08,1.78,0.38,2.62,2.87,0.88,3.63,,
Total,32.25,24.79,18.99,32.12,23.41,20.65,24.19,25.52,21.83,26.60,,
Calc annual,32.25,24.79,18.99,32.12,23.41,20.65,24.19,25.52,21.83,26.60,,
Difference,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
