"BOURTON-ON-THE-WATER CHARDWAR",,,,,,,,,,,,
Grid ref,SP170209,Long,-1.754407,Lat,51.886402,,,,,,,
Station no,2210,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.47,1.31,1.05,3.87,3.64,1.11,5.40,0.99,1.65,1.54,,
February,6.45,1.12,1.37,1.76,4.92,0.85,2.03,1.67,1.35,0.37,,
March,0.80,2.98,1.75,3.90,1.64,4.09,1.48,1.23,3.27,4.18,,
April,0.86,3.30,1.73,2.44,1.04,2.45,0.77,3.06,3.45,2.57,,
May,2.02,1.37,2.27,5.05,3.11,0.20,1.69,3.56,2.02,1.58,,
June,2.15,1.16,2.81,4.29,1.20,4.62,2.75,3.06,1.05,3.76,,
July,0.81,3.96,1.39,3.85,2.52,0.77,1.19,4.44,3.18,2.12,,
August,5.00,2.01,2.82,3.60,2.67,4.87,1.23,2.45,3.95,2.49,,
September,0.60,1.85,1.72,2.76,2.50,1.30,0.82,0.65,1.27,3.82,,
October,3.42,2.08,2.46,6.89,0.71,1.39,5.68,8.18,2.08,4.61,,
November,2.96,1.13,2.98,2.62,1.91,3.94,3.51,2.08,1.31,0.82,,
December,5.33,5.15,2.79,1.87,2.17,0.95,2.60,4.44,2.96,4.62,,
Total,33.87,27.42,25.14,42.90,28.03,26.54,29.15,35.81,27.54,32.48,,
Calc annual,33.87,27.42,25.14,42.90,28.03,26.54,29.15,35.81,27.54,32.48,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
