"BUNGAY FLIXTON (ST MARY'S VICARAGE)",,,,,,,,,,,,
Grid ref,TM306865,Long,1.390446,Lat,52.427818,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.53,0.59,,
February,,,,,,,,,1.75,0.81,,
March,,,,,,,,,2.22,2.82,,
April,,,,,,,,,2.22,1.49,,
May,,,,,,,,,1.71,1.11,,
June,,,,,,,,,0.76,3.51,,
July,,,,,,,,,3.43,2.77,,
August,,,,,,,,,2.57,1.83,,
September,,,,,,,,,1.51,1.92,,
October,,,,,,,,,2.62,3.89,,
November,,,,,,,,,1.17,1.03,,
December,,,,,,,,,1.48,4.93,,
Total,,,,,,,,,21.97,26.70,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.97,26.70,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,,
