"MULL BUNESSAN",,,,,,,,,,,,
Grid ref,NM385219,Long,-6.230498,Lat,56.317113,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,3.46,3.92,6.20,9.96,7.34,10.11,6.24,10.23,9.85,,
February,,2.30,4.03,13.62,12.10,9.25,7.96,8.54,7.54,4.36,,
March,,3.72,9.63,14.02,8.60,13.24,6.46,6.71,8.04,3.59,,
April,,5.34,6.28,5.00,8.37,3.96,3.74,4.25,3.56,8.63,,
May,,0.39,3.63,4.36,2.26,3.52,3.91,6.81,5.68,6.12,,
June,,3.40,4.53,1.78,5.93,1.86,3.75,4.81,4.86,2.06,,
July,,1.31,7.20,8.47,4.29,6.57,7.77,6.07,4.79,6.94,,
August,,2.90,5.41,11.73,6.40,6.49,9.37,10.66,6.77,4.96,,
September,,6.24,9.13,5.60,8.56,4.70,5.52,5.53,8.24,5.28,,
October,,5.91,7.04,20.30,8.56,7.22,8.88,5.69,6.14,9.31,,
November,,4.59,10.09,8.26,6.19,5.90,9.95,10.06,4.25,5.78,,
December,,5.92,15.26,9.60,8.87,6.14,8.57,10.75,10.54,13.29,,
Total,59.02,45.48,86.15,108.94,90.09,76.19,85.99,86.12,80.64,80.17,,
Calc annual,0.00,45.48,86.15,108.94,90.09,76.19,85.99,86.12,80.64,80.17,,
Difference,59.02,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
