"PURLEY PEAKS HILL",,,,,,,,,,,,
Grid ref,TQ294622,Long,-0.143488,Lat,51.344163,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.36,5.41,1.66,2.08,,,
February,,,,,,1.13,2.49,2.38,1.58,,,
March,,,,,,3.55,1.53,1.14,4.24,,,
April,,,,,,2.04,0.78,4.03,3.29,,,
May,,,,,,0.78,2.25,2.12,3.42,,,
June,,,,,,5.56,3.43,3.05,2.17,,,
July,,,,,,2.14,0.29,1.24,4.72,,,
August,,,,,,3.08,1.28,3.06,5.09,,,
September,,,,,,2.35,2.11,0.96,1.82,,,
October,,,,,,1.37,5.72,4.99,3.18,,,
November,,,,,,5.06,6.16,3.58,1.06,,,
December,,,,,,0.78,2.06,4.18,3.74,,,
Total,,,,,,29.20,33.51,32.39,36.39,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,29.20,33.51,32.39,36.39,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,NaN,,
