"MONIAIVE MAXWELTON HOUSE",,,,,,,,,,,,
Grid ref,NX822897,Long,-3.851767,Lat,55.187498,,,,,,,
Station no,1143331,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.78,3.71,3.20,8.49,4.66,2.73,5.73,2.27,5.76,6.56,,
February,4.82,1.36,2.93,6.41,4.20,3.41,3.47,3.21,3.35,2.03,,
March,0.32,2.49,3.14,11.66,3.46,5.76,3.39,4.48,7.08,5.03,,
April,2.52,4.54,2.91,1.33,4.81,3.50,1.51,2.67,2.05,3.95,,
May,4.70,2.77,2.55,2.63,2.85,2.23,6.80,5.37,3.19,2.54,,
June,3.98,3.78,2.16,2.44,2.39,3.10,1.80,5.01,4.06,3.65,,
July,2.47,1.60,2.40,4.19,3.77,1.45,2.93,1.85,3.89,4.79,,
August,6.42,5.22,2.88,7.66,5.74,4.53,6.33,5.10,3.84,1.93,,
September,3.38,4.77,3.35,5.01,3.68,2.10,0.88,1.05,6.30,2.68,,
October,5.59,6.11,2.96,11.59,2.24,3.59,8.22,8.32,2.22,10.15,,
November,4.96,4.30,4.79,4.15,3.52,5.39,3.93,3.71,3.43,2.27,,
December,8.38,5.59,6.43,4.83,4.37,3.61,3.80,6.19,5.52,6.58,,
Total,52.32,46.24,39.70,70.39,45.69,41.40,48.79,49.23,50.69,52.16,,
Calc annual,52.32,46.24,39.70,70.39,45.69,41.40,48.79,49.23,50.69,52.16,,
Difference,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
