"GRAIGUE BRANDONDALE",,,,,,,,,,,,
Grid ref,IS7049943318,Long,-6.961611,Lat,52.536944,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.46,3.82,,,,,,,,,,
February,5.45,2.40,,,,,,,,,,
March,0.75,2.34,,,,,,,,,,
April,2.36,3.05,,,,,,,,,,
May,3.14,1.72,,,,,,,,,,
June,5.45,2.38,,,,,,,,,,
July,4.37,0.49,,,,,,,,,,
August,3.12,3.67,,,,,,,,,,
September,1.37,5.57,,,,,,,,,,
October,4.65,3.42,,,,,,,,,,
November,8.70,2.36,,,,,,,,,,
December,3.53,3.47,,,,,,,,,,
Total,46.35,34.69,,,,,,,,,,
Calc annual,46.35,34.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
