"BURTON-ON-THE-WOLDS, BURTON HALL",,,,,,,,,,,,
Grid ref,SK589209,Long,-1.128181,Lat,52.782475,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.88,1.34,1.71,2.19,2.42,0.74,3.06,0.81,0.87,0.95,,
February,4.05,1.00,1.64,1.00,3.60,0.79,2.17,1.13,1.28,0.61,,
March,0.74,2.20,1.35,3.32,1.84,2.38,1.36,1.20,2.47,3.07,,
April,0.84,1.27,1.94,1.26,1.22,1.24,0.75,2.09,2.55,0.88,,
May,1.91,1.00,2.19,3.19,1.78,0.35,1.74,3.10,2.51,0.98,,
June,3.93,0.98,2.32,2.09,0.64,1.84,2.65,2.05,0.84,3.11,,
July,2.05,3.51,1.25,1.90,2.25,2.34,0.58,2.43,2.38,2.96,,
August,4.10,1.54,3.97,4.74,2.61,2.84,0.71,2.16,2.45,2.66,,
September,0.36,0.86,0.93,2.76,1.88,2.11,0.91,0.86,1.93,3.30,,
October,2.36,1.13,2.51,5.19,0.98,0.85,4.55,3.84,1.18,2.82,,
November,2.67,1.19,1.47,1.74,1.19,2.64,3.15,1.89,1.00,0.61,,
December,4.55,3.93,1.53,1.40,1.75,1.02,2.51,2.59,1.61,3.73,,
Total,31.44,19.95,22.81,30.78,22.16,19.14,24.14,24.15,21.07,25.68,,
Calc annual,31.44,19.95,22.81,30.78,22.16,19.14,24.14,24.15,21.07,25.68,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
