"QUERNMORE OLD GAUGE BASIN",,,,,,,,,,,,
Grid ref,SD541576,Long,-2.701916,Lat,54.012361,,,,,,,
Station no,3065,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.22,1.65,2.30,5.20,5.25,3.20,6.27,2.61,5.56,2.45,,
February,5.11,2.05,1.80,3.97,4.07,2.25,4.71,1.74,3.17,3.15,,
March,0.72,3.50,3.35,4.22,2.90,3.38,4.26,4.72,3.55,2.85,,
April,2.81,2.25,2.09,2.28,4.34,3.96,1.71,1.50,2.56,3.70,,
May,2.40,1.31,3.73,4.44,2.72,1.05,6.78,4.27,3.95,2.50,,
June,4.54,2.36,1.49,2.04,1.81,2.24,4.46,10.15,3.62,2.81,,
July,3.30,3.10,4.91,4.60,3.20,3.80,4.11,4.78,5.00,9.09,,
August,6.09,3.65,3.55,8.95,3.75,4.52,5.49,7.40,5.25,3.24,,
September,4.17,2.10,1.63,6.13,2.27,4.70,2.23,1.22,7.30,3.25,,
October,7.03,4.45,4.06,10.64,4.07,4.20,8.63,6.00,1.41,7.07,,
November,4.50,3.25,3.60,4.40,3.70,5.53,4.53,5.47,4.46,2.39,,
December,5.50,4.61,3.75,4.33,4.20,1.50,4.09,6.67,3.27,9.11,,
Total,51.39,34.28,36.26,61.20,42.28,40.33,57.27,56.53,49.10,51.61,,
Calc annual,51.39,34.28,36.26,61.20,42.28,40.33,57.27,56.53,49.10,51.61,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
