"WARTHILL BROCKFIELD HALL",,,,,,,,,,,,
Grid ref,SE663549,Long,-0.990396,Lat,53.985907,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.16,1.08,1.31,0.95,,
February,,,,,,,2.01,1.10,1.61,0.80,,
March,,,,,,,1.75,1.39,3.01,3.06,,
April,,,,,,,1.05,1.64,2.26,2.31,,
May,,,,,,,2.03,3.32,2.30,1.51,,
June,,,,,,,1.38,3.24,1.13,2.38,,
July,,,,,,,1.52,1.71,2.66,2.64,,
August,,,,,,,2.22,2.07,2.09,3.44,,
September,,,,,,,0.57,0.86,2.00,1.70,,
October,,,,,,,5.09,4.12,1.05,2.29,,
November,,,,,,,2.91,2.90,1.78,0.60,,
December,,,,,,,1.90,3.28,2.01,4.42,,
Total,,,,,,,25.59,26.71,23.21,26.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,25.59,26.71,23.21,26.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
