"COLINSBURGH GILSTON",,,,,,,,,,,,
Grid ref,NO450066,Long,-2.889152,Lat,56.248721,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.69,0.68,2.76,,,
February,,,,,,,0.94,1.49,0.89,,,
March,,,,,,,2.02,2.08,4.12,,,
April,,,,,,,1.03,1.99,1.51,,,
May,,,,,,,6.51,4.96,,,,
June,,,,,,,1.30,4.26,,,,
July,,,,,,,1.12,2.92,,,,
August,,,,,,,5.88,3.95,,,,
September,,,,,,,1.35,1.32,,,,
October,,,,,,,6.63,7.68,,,,
November,,,,,,,4.51,1.97,,,,
December,,,,,,,2.28,4.29,,,,
Total,,,,,,,36.26,37.59,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,36.26,37.59,9.28,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,NaN,NaN,,
