"HORNCASTLE BEOLEY HOUSE",,,,,,,,,,,,
Grid ref,TF265697,Long,-0.107288,Lat,53.209320,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.32,1.17,,
February,,,,,,,,,1.54,0.74,,
March,,,,,,,,,2.00,3.20,,
April,,,,,,,,,2.33,1.64,,
May,,,,,,,,,1.38,1.19,,
June,,,,,,,,,1.31,,,
July,,,,,,,,,3.49,-999.00,,
August,,,,,,,,,2.48,3.44,,
September,,,,,,,,,1.55,1.34,,
October,,,,,,,,,1.09,,,
November,,,,,,,,,1.13,,,
December,,,,,,,,,1.80,,,
Total,,,,,,,,,21.42,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.42,12.72,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,,
