"PRESCOT (KNOWSLY HALL)",,,,,,,,,,,,
Grid ref,SJ444938,Long,-2.838432,Lat,53.438029,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.59,2.41,2.52,2.44,2.79,1.53,4.85,1.26,1.91,1.38,,
February,3.97,1.45,1.50,1.39,4.03,1.46,2.59,1.70,2.72,1.09,,
March,0.68,2.28,2.59,3.56,1.57,3.50,2.65,2.28,2.92,2.67,,
April,1.71,2.17,1.46,2.26,1.47,2.94,1.23,1.21,2.40,3.13,,
May,2.11,0.92,4.45,4.38,1.57,0.66,3.12,3.30,3.27,1.94,,
June,2.58,1.65,1.40,1.33,2.29,2.03,1.43,6.51,1.80,2.37,,
July,1.21,2.04,2.59,3.16,1.92,2.28,0.84,3.60,3.70,4.32,,
August,6.96,3.41,2.47,4.76,4.69,3.75,2.96,3.81,2.51,3.05,,
September,0.97,1.00,1.48,5.14,1.84,1.82,2.54,0.83,3.89,3.28,,
October,4.05,3.80,2.80,7.43,2.42,3.26,6.03,3.50,2.43,5.42,,
November,2.88,3.50,2.16,3.44,2.12,4.03,2.03,4.68,2.64,1.33,,
December,3.19,3.93,2.81,2.15,3.03,0.64,3.64,2.87,2.02,6.91,,
Total,34.90,28.56,28.23,41.44,29.74,27.90,33.91,35.55,32.21,36.89,,
Calc annual,34.90,28.56,28.23,41.44,29.74,27.90,33.91,35.55,32.21,36.89,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
