"THIRSK CLIFF HEAD BOLTBY NO 1",,,,,,,,,,,,
Grid ref,SE492869,Long,-1.245944,Lat,54.275388,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.85,0.20,2.93,0.17,0.95,0.21,,
February,,,,,2.04,0.78,0.94,0.71,1.27,0.62,,
March,,,,,1.33,1.64,1.13,0.31,2.75,3.15,,
April,,,,,1.19,2.42,1.31,2.23,3.21,1.99,,
May,,,,,3.60,0.58,3.01,3.09,1.20,1.00,,
June,,,,,1.13,1.20,0.99,3.19,0.21,2.42,,
July,,,,,1.18,0.96,0.92,1.46,3.14,2.39,,
August,,,,,3.09,2.76,2.12,1.72,1.31,3.43,,
September,,,,,1.52,2.62,0.57,0.47,2.29,2.00,,
October,,,,,0.49,2.09,5.34,4.35,1.22,2.62,,
November,,,,,1.12,4.47,2.93,2.35,1.53,0.44,,
December,,,,,1.51,0.20,1.07,2.69,1.33,3.24,,
Total,,,,,20.05,19.92,23.26,22.74,20.41,23.51,,
Calc annual,0.00,0.00,0.00,0.00,20.05,19.92,23.26,22.74,20.41,23.51,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
