"CHARMINSTER BROOKLANDS",,,,,,,,,,,,
Grid ref,SY678932,Long,-2.457671,Lat,50.737512,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,8.94,1.55,1.09,1.38,,
February,,,,,,,4.02,1.65,1.76,0.58,,
March,,,,,,,1.19,0.75,2.80,5.23,,
April,,,,,,,1.31,4.42,2.42,1.72,,
May,,,,,,,3.02,1.95,1.85,1.11,,
June,,,,,,,1.58,2.12,0.45,4.82,,
July,,,,,,,1.02,1.27,2.12,3.67,,
August,,,,,,,0.86,1.49,4.30,3.25,,
September,,,,,,,0.96,0.68,2.59,2.77,,
October,,,,,,,7.13,9.96,4.49,10.55,,
November,,,,,,,4.82,4.70,1.33,1.08,,
December,,,,,,,2.35,5.23,4.58,6.55,,
Total,,,,,,,37.20,35.77,29.78,42.71,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,37.20,35.77,29.78,42.71,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
