"BOLTON, QUEEN'S PARK",,,,,,,,,,,,
Grid ref,SD705093,Long,-2.447023,Lat,53.579457,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.28,2.95,3.93,3.20,3.67,2.23,6.46,2.30,3.86,2.28,,
February,3.78,2.21,2.45,3.85,3.82,2.86,4.52,2.48,4.34,1.85,,
March,0.88,3.27,3.04,4.04,2.34,3.81,3.35,3.87,3.66,3.60,,
April,2.50,3.10,2.39,2.30,2.57,4.24,2.43,1.87,2.91,4.11,,
May,2.00,1.13,3.81,3.78,2.93,0.81,4.14,4.38,2.91,3.44,,
June,2.95,2.53,1.63,2.34,1.42,2.93,1.86,7.84,2.83,2.96,,
July,2.14,2.64,3.87,3.77,1.71,2.46,1.90,3.77,5.85,7.08,,
August,7.02,3.28,3.20,5.67,4.64,5.64,6.57,5.37,3.68,3.76,,
September,1.76,1.49,2.33,5.81,1.73,3.26,2.30,1.49,4.96,3.18,,
October,6.56,3.86,5.56,9.72,2.90,5.06,7.36,4.03,2.40,6.59,,
November,4.01,4.97,2.55,4.71,3.72,5.11,3.73,3.57,3.65,1.87,,
December,5.71,5.25,3.22,2.07,3.29,0.78,5.90,4.59,3.41,8.33,,
Total,45.59,36.68,37.98,51.26,34.74,39.19,50.52,45.56,44.46,49.05,,
Calc annual,45.59,36.68,37.98,51.26,34.74,39.19,50.52,45.56,44.46,49.05,,
Difference,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
