"HARSTON",,,,,,,,,,,,
Grid ref,TL420509,Long,0.073474,Lat,52.138154,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.51,0.40,0.52,1.78,1.47,1.09,2.48,1.28,0.86,0.62,,
February,2.72,0.57,0.95,0.59,2.64,1.20,1.52,1.21,1.06,0.19,,
March,0.72,2.01,0.96,2.01,1.14,2.21,1.63,0.97,1.94,2.65,,
April,0.93,2.49,0.93,1.34,0.80,1.66,0.51,2.32,2.74,1.44,,
May,0.97,0.92,4.05,3.89,1.30,0.98,0.99,3.00,1.56,1.47,,
June,2.28,1.39,2.45,4.19,0.94,3.23,3.86,1.56,1.09,3.25,,
July,0.85,1.61,1.10,5.19,4.80,1.43,1.01,1.65,3.37,2.80,,
August,2.65,1.80,4.47,3.20,2.20,2.73,0.91,2.60,1.99,1.91,,
September,0.50,1.94,0.69,2.09,1.52,1.89,0.69,0.88,1.36,1.58,,
October,1.77,1.63,1.39,4.57,1.17,1.24,2.98,2.11,1.12,3.56,,
November,2.11,1.30,1.13,2.08,1.24,1.88,3.43,2.09,0.88,0.57,,
December,2.20,2.31,1.13,1.25,1.56,0.70,2.27,2.60,1.37,2.65,,
Total,20.21,18.37,19.77,32.18,20.78,20.24,22.28,22.27,19.34,22.69,,
Calc annual,20.21,18.37,19.77,32.18,20.78,20.24,22.28,22.27,19.34,22.69,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
