"BRAY",,,,,,,,,,,,
Grid ref,IO2669018269,Long,-6.104646,Lat,53.199997,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.94,4.93,2.26,3.96,,,,,,,,
February,7.35,0.98,4.12,3.44,,,,,,,,
March,1.52,3.27,1.88,5.35,,,,,,,,
April,1.73,3.01,4.34,1.52,,,,,,,,
May,3.14,1.74,3.95,3.51,,,,,,,,
June,2.46,2.67,3.90,1.89,,,,,,,,
July,4.14,2.47,5.13,4.40,,,,,,,,
August,4.60,4.19,4.18,3.36,,,,,,,,
September,0.67,5.06,3.99,5.35,,,,,,,,
October,2.24,3.65,4.43,5.57,,,,,,,,
November,8.09,2.51,6.62,2.23,,,,,,,,
December,3.52,3.94,3.42,2.94,,,,,,,,
Total,44.40,38.42,48.22,43.52,,,,,,,,
Calc annual,44.40,38.42,48.22,43.52,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
