"MARYPORT NETHERHALL",,,,,,,,,,,,
Grid ref,NY042366,Long,-3.488630,Lat,54.715250,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.91,2.46,2.56,3.52,2.97,1.70,4.67,1.66,4.25,,,
February,4.39,1.41,1.17,4.33,3.72,2.60,2.09,2.19,3.00,,,
March,1.43,2.10,1.71,5.25,3.44,3.19,2.52,4.10,4.09,,,
April,1.50,2.92,1.26,1.64,2.78,1.66,1.14,2.03,1.90,,,
May,2.77,0.84,1.94,2.74,2.76,3.01,4.68,3.93,3.44,,,
June,1.50,0.33,1.74,1.33,1.90,1.91,1.60,5.81,3.12,,,
July,2.06,0.82,3.60,4.29,2.40,1.87,2.23,2.00,3.30,,,
August,7.45,1.77,2.29,6.73,5.68,3.19,5.00,4.45,4.66,,,
September,2.86,0.57,1.33,4.30,1.95,3.02,1.45,0.36,3.56,,,
October,7.17,2.93,2.84,8.59,2.97,2.41,4.95,7.69,1.74,,,
November,4.08,4.38,1.84,3.32,1.36,3.73,4.22,4.80,2.43,,,
December,6.21,4.44,3.68,2.73,1.50,2.76,2.58,6.03,2.93,,,
Total,44.33,24.97,25.96,48.77,33.43,31.05,37.13,45.05,38.42,,,
Calc annual,44.33,24.97,25.96,48.77,33.43,31.05,37.13,45.05,38.42,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,,
