"CAMBRIDGE W.W. CHERRYHINTON",,,,,,,,,,,,
Grid ref,TL474562,Long,0.154618,Lat,52.184357,,,,,,,
Station no,1200,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.59,0.49,0.35,1.91,1.43,1.14,2.71,1.07,0.72,0.66,,
February,3.53,0.73,1.13,0.36,2.36,1.22,1.65,1.42,1.07,0.24,,
March,0.75,1.94,0.75,2.01,1.45,1.98,1.62,0.92,1.68,2.95,,
April,0.68,2.38,0.78,1.55,0.65,1.54,0.88,2.47,2.18,1.50,,
May,1.54,0.86,3.18,4.53,1.43,1.11,1.13,2.55,1.17,1.37,,
June,2.08,2.02,2.52,3.45,1.16,2.99,3.53,2.22,1.05,3.19,,
July,0.95,2.08,0.96,4.76,3.26,1.56,1.29,1.54,2.78,2.67,,
August,2.34,2.09,2.87,2.71,1.76,2.20,0.54,1.93,1.96,2.06,,
September,0.50,1.56,0.52,2.15,1.39,1.65,0.75,0.65,1.74,1.90,,
October,1.91,2.99,1.27,4.80,1.17,1.36,3.04,2.27,1.42,3.43,,
November,1.92,1.20,1.11,2.13,1.26,1.86,3.31,2.46,0.83,0.60,,
December,2.07,2.23,1.13,1.15,1.68,0.68,1.88,2.72,1.60,2.84,,
Total,20.86,20.57,16.57,31.51,19.00,19.29,22.33,22.22,18.20,23.41,,
Calc annual,20.86,20.57,16.57,31.51,19.00,19.29,22.33,22.22,18.20,23.41,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,,
