"NAVAN, DURHAMSTOWN",,,,,,,,,,,,
Grid ref,IN8035968546,Long,-6.785021,Lat,53.660700,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.82,1.86,,
February,,,,,,,,,1.60,0.95,,
March,,,,,,,,,3.23,2.80,,
April,,,,,,,,,2.23,4.41,,
May,,,,,,,,,2.55,1.82,,
June,,,,,,,,,1.32,2.14,,
July,,,,,,,,,3.13,3.37,,
August,,,,,,,,,2.85,1.39,,
September,,,,,,,,,5.56,2.46,,
October,,,,,,,,,2.30,5.14,,
November,,,,,,,,,2.10,1.61,,
December,,,,,,,,,2.73,4.93,,
Total,,,,,,,,,31.42,32.88,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.42,32.88,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
