"FETTERCAIRN THE BURN HOUSE",,,,,,,,,,,,
Grid ref,NO598716,Long,-2.660429,Lat,56.834121,,,,,,,
Station no,RR236,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.68,3.18,1.32,5.07,2.17,0.73,3.02,1.10,2.74,1.84,,
February,4.59,2.06,1.86,3.88,4.62,1.77,1.79,2.07,0.98,0.65,,
March,2.20,2.34,1.45,3.97,2.76,4.75,1.39,1.74,4.79,5.86,,
April,2.42,3.22,2.63,1.90,2.11,3.65,1.48,2.73,1.32,3.73,,
May,2.43,1.82,2.96,1.50,2.57,1.63,5.50,7.30,1.82,3.39,,
June,3.06,1.62,2.50,2.42,1.05,0.85,0.69,4.47,1.28,1.17,,
July,4.30,0.97,2.74,5.89,1.00,1.62,2.03,2.17,2.46,4.83,,
August,3.30,3.39,3.36,4.65,4.69,3.97,4.82,3.33,2.78,2.39,,
September,2.68,2.46,2.21,3.05,3.12,1.61,1.17,1.18,4.94,0.82,,
October,3.37,2.56,1.53,6.67,1.02,2.90,6.09,3.91,3.62,3.88,,
November,4.28,1.59,5.85,1.15,1.53,7.29,4.98,2.27,2.56,0.98,,
December,5.37,4.20,5.14,4.14,3.30,1.48,3.08,4.19,3.14,4.72,,
Total,42.68,29.41,33.55,44.29,29.94,32.25,36.04,36.46,32.43,34.26,,
Calc annual,42.68,29.41,33.55,44.29,29.94,32.25,36.04,36.46,32.43,34.26,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
