"STRACHUR TOMBUIDHE",,,,,,,,,,,,
Grid ref,NN098005,Long,-5.064293,Lat,56.159117,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,7.82,9.35,,
February,,,,,,,,,6.08,5.82,,
March,,,,,,,,,7.80,1.22,,
April,,,,,,,,,1.83,4.98,,
May,,,,,,,,,3.20,4.26,,
June,,,,,,,,,3.93,2.47,,
July,,,,,,,,,4.49,5.22,,
August,,,,,,,,,7.18,5.07,,
September,,,,,,,,,9.60,2.27,,
October,,,,,,,,,1.74,11.77,,
November,,,,,,,,7.73,5.99,6.51,,
December,,,,,,,,8.56,6.03,10.66,,
Total,,,,,,,,,65.69,69.60,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.29,65.69,69.60,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
