"HELENSBURGH FERNIGAIR",,,,,,,,,,,,
Grid ref,NS286826,Long,-4.750504,Lat,56.005610,,,,,,,
Station no,5319,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.88,3.24,2.78,8.91,4.84,2.89,5.58,4.08,7.03,7.72,,
February,3.30,1.63,2.25,8.55,4.84,3.15,2.68,4.37,4.00,3.13,,
March,0.44,1.83,3.24,8.87,2.47,3.99,3.65,5.80,5.69,2.10,,
April,2.74,2.32,1.68,1.70,5.67,2.86,1.16,2.70,1.37,4.15,,
May,3.46,1.60,2.67,2.97,4.01,2.00,5.50,4.60,2.89,3.25,,
June,3.14,3.29,1.83,2.86,3.14,0.81,1.60,5.21,2.92,3.18,,
July,4.00,2.53,3.52,4.08,2.42,3.48,3.08,2.70,4.00,3.96,,
August,5.04,4.80,2.67,8.65,5.04,4.95,4.15,7.05,5.00,3.29,,
September,3.91,2.69,4.12,4.54,4.70,2.11,2.42,1.99,7.16,2.39,,
October,7.04,4.76,2.57,10.40,2.41,4.33,6.61,5.40,1.23,7.85,,
November,5.76,3.76,4.13,3.68,2.89,5.38,4.54,4.54,4.30,3.45,,
December,8.11,4.66,6.40,4.30,5.66,3.97,4.25,6.89,5.25,7.40,,
Total,52.82,37.11,37.86,69.51,48.09,39.92,45.22,55.33,50.84,51.87,,
Calc annual,52.82,37.11,37.86,69.51,48.09,39.92,45.22,55.33,50.84,51.87,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
